ids,Description,Price,borough
65250229,1 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
39500824,1 bedroom apartment for sale,200000.0,"('Sutton', '5E93974')"
50060474,5 bedroom house for sale,985000.0,"('Sutton', '5E93974')"
3431935,3 bedroom detached house for sale,950000.0,"('Sutton', '5E93974')"
25191110,1 bedroom apartment for sale,935000.0,"('City of London', '5E61224')"
59417028,2 bedroom maisonette for sale,380000.0,"('Sutton', '5E93974')"
79763690,2 bedroom apartment for sale,375000.0,"('Sutton', '5E93974')"
94443521,1 bedroom apartment for sale,250000.0,"('Sutton', '5E93974')"
18992389,3 bedroom terraced house for sale,500000.0,"('Sutton', '5E93974')"
5686587,4 bedroom detached house for sale,1100000.0,"('Sutton', '5E93974')"
87871416,3 bedroom detached house for sale,550000.0,"('Sutton', '5E93974')"
85573031,1 bedroom apartment for sale,950000.0,"('City of London', '5E61224')"
31493454,1 bedroom apartment for sale,160000.0,"('Sutton', '5E93974')"
92286047,2 bedroom apartment for sale,325000.0,"('Sutton', '5E93974')"
76634810,3 bedroom flat for sale,850000.0,"('City of London', '5E61224')"
49834210,2 bedroom apartment for sale,423995.0,"('Sutton', '5E93974')"
18071233,1 bedroom flat for sale,238125.0,"('Sutton', '5E93974')"
34975039,1 bedroom flat for sale,146250.0,"('Sutton', '5E93974')"
54148963,2 bedroom apartment for sale,215000.0,"('Sutton', '5E93974')"
18219949,2 bedroom apartment for sale,215000.0,"('Sutton', '5E93974')"
26025021,2 bedroom flat for sale,400000.0,"('Sutton', '5E93974')"
96228912,2 bedroom apartment for sale,250000.0,"('Sutton', '5E93974')"
89885358,2 bedroom flat for sale,400000.0,"('Sutton', '5E93974')"
8631091,1 bedroom apartment for sale,1300000.0,"('City of London', '5E61224')"
83690784,2 bedroom apartment for sale,2000000.0,"('City of London', '5E61224')"
19917191,3 bedroom apartment for sale,3820000.0,"('City of London', '5E61224')"
50607430,2 bedroom flat for sale,1595000.0,"('City of London', '5E61224')"
23015896,3 bedroom bungalow for sale,396500.0,"('Sutton', '5E93974')"
4593619,2 bedroom maisonette for sale,375000.0,"('Sutton', '5E93974')"
81460499,1 bedroom apartment for sale,240000.0,"('Sutton', '5E93974')"
4436630,2 bedroom apartment for sale,382375.0,"('Sutton', '5E93974')"
11680018,1 bedroom apartment for sale,330125.0,"('Sutton', '5E93974')"
40844417,2 bedroom apartment for sale,451250.0,"('Sutton', '5E93974')"
7762115,1 bedroom apartment for sale,361000.0,"('Sutton', '5E93974')"
12903324,3 bedroom apartment for sale,445000.0,"('Sutton', '5E93974')"
11612220,Hotel room for sale,134000.0,"('City of London', '5E61224')"
87572163,Land for sale,3000.0,"('Sutton', '5E93974')"
62818577,Hotel room for sale,144000.0,"('City of London', '5E61224')"
34489300,Hotel room for sale,154000.0,"('City of London', '5E61224')"
55375648,Hotel room for sale,164000.0,
38909194,Hotel room for sale,174000.0,
27574268,Hotel room for sale,184000.0,
279553,Hotel room for sale,194000.0,"('City of London', '5E61224')"
26502200,Hotel room for sale,204000.0,"('City of London', '5E61224')"
27490139,4 bedroom semi-detached house for sale,799950.0,"('Sutton', '5E93974')"
40243193,3 bedroom end of terrace house for sale,650000.0,"('Sutton', '5E93974')"
65483184,2 bedroom flat for sale,300000.0,"('Sutton', '5E93974')"
8107200,Hotel room for sale,214000.0,"('City of London', '5E61224')"
48564956,Hotel room for sale,224000.0,"('City of London', '5E61224')"
12260564,1 bedroom flat for sale,260000.0,"('Sutton', '5E93974')"
89971276,2 bedroom semi-detached bungalow for sale,550000.0,"('Sutton', '5E93974')"
64721556,3 bedroom apartment for sale,1595000.0,"('City of London', '5E61224')"
11613219,1 bedroom apartment for sale,695000.0,
88820780,2 bedroom apartment for sale,475000.0,"('Sutton', '5E93974')"
94103137,5 bedroom house for sale,875000.0,"('Sutton', '5E93974')"
49149123,3 bedroom semi-detached house for sale,625000.0,"('Sutton', '5E93974')"
79105884,2 bedroom terraced house for sale,450000.0,"('Sutton', '5E93974')"
60602011,3 bedroom terraced house for sale,475000.0,"('Sutton', '5E93974')"
31932018,1 bedroom apartment for sale,330125.0,"('Sutton', '5E93974')"
90097389,2 bedroom apartment for sale,451250.0,"('Sutton', '5E93974')"
75730081,2 bedroom apartment for sale,382375.0,"('Sutton', '5E93974')"
37846385,1 bedroom apartment for sale,361000.0,"('Sutton', '5E93974')"
98718457,3 bedroom detached house for sale,700000.0,"('Sutton', '5E93974')"
88584446,1 bedroom flat for sale,750000.0,"('City of London', '5E61224')"
81309690,2 bedroom flat for sale,350000.0,"('Sutton', '5E93974')"
84389754,2 bedroom apartment for sale,375000.0,"('Sutton', '5E93974')"
19215155,3 bedroom terraced house for sale,550000.0,"('Sutton', '5E93974')"
74426318,6 bedroom detached house for sale,1800000.0,"('Sutton', '5E93974')"
76866112,2 bedroom apartment for sale,270000.0,"('Sutton', '5E93974')"
24632846,2 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
38655416,2 bedroom flat for sale,2120000.0,"('City of London', '5E61224')"
43284476,1 bedroom apartment for sale,230000.0,"('Sutton', '5E93974')"
16520664,1 bedroom apartment for sale,152500.0,"('Sutton', '5E93974')"
21348484,3 bedroom semi-detached house for sale,600000.0,"('Sutton', '5E93974')"
53777533,4 bedroom detached house for sale,1000000.0,"('Sutton', '5E93974')"
57000901,4 bedroom apartment for sale,1650000.0,"('City of London', '5E61224')"
11616442,1 bedroom apartment for sale,590000.0,"('City of London', '5E61224')"
60311439,3 bedroom terraced house for sale,363500.0,"('Sutton', '5E93974')"
59725197,2 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
68944089,4 bedroom semi-detached house for sale,675000.0,"('Sutton', '5E93974')"
63335071,2 bedroom flat for sale,365000.0,"('Sutton', '5E93974')"
13018296,3 bedroom terraced house for sale,475000.0,"('Sutton', '5E93974')"
72852086,2 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
81899657,3 bedroom semi-detached house for sale,650000.0,"('Sutton', '5E93974')"
16141198,4 bedroom house for sale,750000.0,"('Sutton', '5E93974')"
22737139,1 bedroom ground floor flat for sale,250000.0,"('Sutton', '5E93974')"
64785481,4 bedroom semi-detached house for sale,446000.0,"('Sutton', '5E93974')"
61479851,2 bedroom flat for sale,241500.0,"('Sutton', '5E93974')"
