ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
121244657,0.2,3.0,1.0,HA,Brent,End of Terrace,FREEHOLD,,HA0,3EE,51.554868,-0.313384,20220318,False,,,,Non-shared ownership,Resale,None,True,600000.0
118638770,0.2,2.0,1.0,NW,Brent,Flat,LEASEHOLD,,NW6,6AD,51.535976,-0.198386,20220112,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,600000.0
96588016,0.4,2.0,1.0,W,Brent,Flat,LEASEHOLD,,W9,3JS,51.530487,-0.198566,20220524,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,600000.0
121518719,0.3,2.0,1.0,NW,Brent,Flat,SHARE_OF_FREEHOLD,,NW2,4JX,51.553098,-0.22617,20220324,False,762.0,762.0,£787.40 per sq. ft.,Non-shared ownership,Resale,None,False,600000.0
123394232,0.5,3.0,1.0,HA,Brent,Semi-Detached,,,HA9,6NB,51.552429,-0.275947,20220516,False,,,,Non-shared ownership,Resale,None,True,600000.0
124138109,0.2,2.0,1.0,HA,Brent,Apartment,LEASEHOLD,,HA0,1ET,51.538248,-0.298085,20220621,False,,,,Shared ownership,New Home,None,False,600000.0
123105104,0.7,3.0,1.0,NW,Brent,House,FREEHOLD,,NW9,0LS,51.5896,-0.2627,20220506,False,,,,Non-shared ownership,Resale,Offers Over,True,600000.0
121285625,0.4,4.0,1.0,NW,Brent,Flat,LEASEHOLD,,NW2,6AA,51.554556,-0.219135,20220319,False,,,,Non-shared ownership,Resale,None,False,600000.0
123819050,0.6,2.0,1.0,NW,Brent,Flat,SHARE_OF_FREEHOLD,,NW10,2BP,51.544016,-0.233864,20220601,False,773.0,773.0,£776.20 per sq. ft.,Non-shared ownership,Resale,None,False,600000.0
122903468,0.3,3.0,1.0,NW,Brent,Ground Flat,SHARE_OF_FREEHOLD,,NW10,4QG,51.534235,-0.238175,20220428,False,,,,Non-shared ownership,Resale,None,False,600000.0
122422640,0.6,3.0,1.0,NW,Brent,Flat,LEASEHOLD,,NW2,6HG,51.560798,-0.235276,20220414,False,1057.0,1057.0,£567.64 per sq. ft.,Non-shared ownership,Resale,None,False,600000.0
118055264,0.2,2.0,2.0,NW,Brent,Apartment,LEASEHOLD,250.0,NW6,2BS,51.54298,-0.1992,20211226,False,714.0,714.0,£840.34 per sq. ft.,Non-shared ownership,New Home,None,False,600000.0
122421752,0.4,3.0,2.0,NW,Brent,Flat,LEASEHOLD,119.0,NW6,5PU,51.53032,-0.197684,20220414,False,1199.0,1199.0,£646.37 per sq. ft.,Non-shared ownership,Resale,None,False,775000.0
120583757,0.3,2.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR1,3QD,51.411938,0.013542,20220302,False,,,,Non-shared ownership,Resale,Guide Price,False,375000.0
86574877,0.4,2.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR3,1BJ,51.41829,-0.02499,20201109,False,,,,Shared ownership,Resale,None,True,192500.0
85698225,0.7,2.0,,BR,Bromley,Maisonette,LEASEHOLD,,BR5,4AP,51.386703,0.114251,20220614,False,,,,Non-shared ownership,Resale,None,True,195000.0
123229661,0.8,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR5,2FD,51.406452,0.104647,20220511,False,,,,Shared ownership,Resale,None,True,197000.0
118650851,0.6,1.0,1.0,SE,Bromley,Maisonette,LEASEHOLD,,SE9,4AU,51.42552,0.04206,20220112,False,,,,Non-shared ownership,Resale,Guide Price,True,200000.0
109720532,0.4,,1.0,SE,Bromley,Flat,,,SE26,6UL,51.423696,-0.063068,20210630,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,200000.0
85566933,0.1,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,8AN,51.41254,-0.06738,20220610,False,,,,Non-shared ownership,Resale,None,False,200000.0
122634185,0.1,,1.0,BR,Bromley,Flat,LEASEHOLD,,BR3,4PU,51.40848,-0.03966,20220420,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,200000.0
85679391,0.8,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR3,6QH,51.400613,-0.018515,20220614,False,,,,Non-shared ownership,Resale,None,True,200000.0
107000030,0.5,1.0,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR5,3ES,51.39701,0.115646,20210515,False,,,,Non-shared ownership,Resale,Guide Price,True,200000.0
111294995,0.1,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,8AN,51.412616,-0.067319,20210802,False,,,,Non-shared ownership,Resale,Offers in Region of,True,200000.0
123941474,0.2,2.0,1.0,SE,Bromley,Flat,LEASEHOLD,65.0,SE20,7HW,51.417117,-0.056759,20220615,False,,,,Non-shared ownership,Resale,None,False,200000.0
119097827,0.2,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR3,5EL,51.411243,-0.020808,20220124,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,200000.0
119906657,0.3,,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,8DN,51.4166,-0.0685,20220212,False,,,,Non-shared ownership,Resale,Guide Price,False,200000.0
118580330,0.4,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,8TS,51.406564,-0.064504,20220111,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,200000.0
121323605,0.1,,1.0,BR,Bromley,Studio,LEASEHOLD,,BR6,8PR,51.374655,0.08596,20220321,False,,,,Non-shared ownership,Resale,None,True,200000.0
124043078,0.6,3.0,,BR,Bromley,Semi-Detached Bungalow,FREEHOLD,,BR5,3LD,51.39917,0.11809,20220617,True,,,,Non-shared ownership,Resale,Guide Price,False,200000.0
85418049,0.3,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE20,7SA,51.41006,-0.05382,20220601,False,,,,Non-shared ownership,Resale,None,False,200000.0
121573028,0.1,1.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE19,2AS,51.4164,-0.07254,20220325,False,,,,Non-shared ownership,Resale,None,False,200000.0
114945167,0.3,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR1,1NZ,51.40688,0.01233,20211016,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,200000.0
113674451,0.4,1.0,,BR,Bromley,Apartment,LEASEHOLD,,BR2,9JH,51.3972,0.0264,20210918,False,,,,Non-shared ownership,Resale,Guide Price,True,200000.0
119378477,0.5,2.0,1.0,SE,Bromley,Flat,LEASEHOLD,,SE9,4PR,51.43153,0.03269,20220201,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,200000.0
